y,formulation_0,formulation_1,formulation_2,formulation_3,formulation_4,formulation_5,formulation_6,formulation_7,formulation_8,formulation_9,formulation_10,formulation_11,formulation_12,formulation_13,formulation_14,formulation_15,handcrafted
1,0.14200000000000002,0.126,0.159,0.10900000000000001,0.094,0.112,149.568,0.108,0.113,0.126,0.133,0.114,0.14500000000000002,0.14500000000000002,0.17300000000000001,0.129,0.14700000000000002
2,0.29000000000000004,29.895,0.322,0.253,0.216,0.244,299.149,0.22999999999999998,0.256,0.276,0.273,0.247,0.30300000000000005,0.30300000000000005,0.355,0.271,0.30200000000000005
3,0.43900000000000006,80.754,0.485,0.397,0.364,0.381,448.744,0.36,0.41000000000000003,0.43200000000000005,0.42800000000000005,0.402,0.4690000000000001,0.4640000000000001,0.558,0.41700000000000004,0.502
4,0.5920000000000001,141.71300000000002,0.657,0.56,0.52,0.526,598.34,0.503,0.5680000000000001,0.5980000000000001,0.5830000000000001,0.5880000000000001,0.6390000000000001,0.6300000000000001,0.794,0.5760000000000001,0.7070000000000001
5,0.7550000000000001,210.12600000000003,0.8310000000000001,0.7240000000000001,0.678,0.674,747.947,0.647,0.742,0.7670000000000001,0.7500000000000001,0.774,0.8170000000000002,0.8110000000000002,1.034,0.7500000000000001,0.925
6,0.925,319.16600000000005,1.006,0.8910000000000001,0.8380000000000001,0.8330000000000001,897.577,0.839,0.921,0.9610000000000001,0.9400000000000002,0.9650000000000001,0.9970000000000001,1.0030000000000001,1.2770000000000001,0.9250000000000002,1.178
7,1.103,458.11300000000006,1.183,1.0690000000000002,1.0310000000000001,0.9990000000000001,1047.2069999999999,1.033,1.109,1.157,1.1310000000000002,1.1640000000000001,1.1900000000000002,1.195,1.568,1.11,1.44
8,1.304,607.9350000000001,1.368,1.2720000000000002,1.2420000000000002,1.195,1196.8439999999998,1.2409999999999999,1.3,1.354,1.3240000000000003,1.37,1.3900000000000001,1.399,1.8760000000000001,1.2950000000000002,1.705
9,1.508,757.758,1.5550000000000002,1.5090000000000003,1.4570000000000003,1.3960000000000001,1346.484,1.4689999999999999,1.5050000000000001,1.5530000000000002,1.5240000000000002,1.609,1.606,1.604,2.206,1.487,1.9700000000000002
10,1.75,907.596,1.7440000000000002,1.7680000000000002,1.6870000000000003,1.606,1496.125,1.7,1.713,1.7670000000000001,1.7870000000000004,1.887,1.831,1.814,2.567,1.683,2.2600000000000002
11,2.012,1057.436,1.9480000000000002,2.055,1.9200000000000004,1.836,1645.768,1.9329999999999998,1.957,1.9840000000000002,2.0570000000000004,2.168,2.068,2.096,2.9690000000000003,1.881,2.608
12,2.281,1207.2759999999998,2.153,2.3440000000000003,2.168,2.074,1795.414,2.181,2.229,2.2060000000000004,2.3480000000000003,2.4570000000000003,2.322,2.378,3.3950000000000005,2.094,3.1470000000000002
13,2.568,1357.1169999999997,2.37,2.6400000000000006,2.49,2.322,1945.061,2.465,2.507,2.4440000000000004,2.6630000000000003,2.7680000000000002,2.596,2.681,3.8900000000000006,2.322,3.72
14,2.887,1506.9579999999996,2.6390000000000002,2.9660000000000006,2.829,2.641,2094.714,2.9059999999999997,2.847,2.6950000000000003,2.99,3.0860000000000003,2.871,3.001,4.424,2.614,4.4110000000000005
15,3.217,1656.8069999999996,3.1610000000000005,3.4300000000000006,3.228,2.969,2244.368,3.5109999999999997,3.431,3.3760000000000003,3.587,3.6580000000000004,3.181,3.384,5.223000000000001,3.06,5.355
16,3.674,1806.6639999999995,3.6890000000000005,3.9180000000000006,3.968,3.7439999999999998,2394.0299999999997,4.236,4.0969999999999995,4.0760000000000005,4.256,4.335000000000001,3.646,3.795,8.804,3.5620000000000003,6.5440000000000005
17,5.705,1956.5269999999996,6.002000000000001,6.009,5.355,5.170999999999999,2543.7009999999996,5.404,5.1419999999999995,5.579000000000001,5.356,5.455000000000001,5.664,5.814,15.057,5.77,11.943
18,10.136,2106.394,12.787,10.574,12.971,12.729,2693.3779999999997,14.008,13.595999999999998,11.265,14.479,14.519000000000002,10.285,10.503,22.125,13.0,21.102
19,18.823999999999998,2256.2709999999997,45.42,19.233,28.247999999999998,27.853,2843.0599999999995,26.561,30.468000000000004,27.166000000000004,32.714,33.146,18.916000000000004,19.137999999999998,48.287000000000006,46.732,55.422
20,168.67399999999998,2434.274,195.29199999999997,169.08100000000002,178.115,177.695,2992.7499999999995,176.40300000000002,180.32800000000003,177.027,182.553,182.962,168.74,168.886,198.12199999999999,196.456,205.344
