handcrafted,tot,grouplabels,count
6,6,0,64
1,1,1,45
1,20,1,8
1,1,2,50
1,20,2,10
1,4,2,2
4,4,3,49
7,7,4,76
1,20,5,9
1,1,5,57
5,5,6,66
1,1,7,51
1,20,7,10
1,1,8,61
1,4,8,1
1,19,8,1
6,6,9,70
7,7,10,67
4,4,11,64
7,7,12,56
7,20,12,5
5,5,13,71
5,19,13,1
5,18,13,1
13,20,14,2
13,13,14,66
16,16,15,67
16,18,15,2
9,9,16,66
9,20,16,4
3,3,17,66
5,5,18,59
5,5,19,78
6,20,0,3
6,14,0,1
1,4,1,3
4,20,3,6
7,20,4,2
1,20,8,14
7,18,10,1
4,20,11,2
3,20,17,5
3,6,17,1
5,17,19,1
1,7,5,3
4,13,11,2
4,5,3,1
7,13,4,1
1,18,8,1
7,6,10,6
16,20,15,1
5,20,13,1
