handcrafted,tot,grouplabels
0.238,0.22899999999999998,0
0.238,0.27099999999999996,0
0.238,0.5619999999999999,0
0.238,0.611,0
0.238,0.403,0
0.238,0.746,0
0.238,0.21899999999999997,0
0.238,0.22499999999999998,0
0.238,0.193,0
0.238,0.256,0
0.238,0.193,0
0.238,0.22300000000000003,0
0.238,0.172,0
0.238,0.149,0
0.238,0.20800000000000002,0
0.105,0.181,1
0.105,0.11099999999999999,1
0.105,149.735,1
0.105,0.11699999999999999,1
0.105,0.121,1
0.105,0.122,1
0.105,0.107,1
0.105,0.11599999999999999,1
0.105,0.106,1
0.105,149.73399999999998,1
0.105,0.16799999999999998,1
0.105,0.121,1
0.105,0.117,1
0.105,0.139,1
0.105,0.184,1
0.105,0.20600000000000002,1
0.11299999999999999,0.201,2
0.11299999999999999,0.14500000000000002,2
0.11299999999999999,0.127,2
0.11299999999999999,0.11299999999999999,2
0.11299999999999999,0.107,2
0.11299999999999999,149.832,2
0.11299999999999999,11.664000000000001,2
0.11299999999999999,0.149,2
0.11299999999999999,0.14500000000000002,2
0.155,0.182,3
0.155,0.7130000000000001,3
0.155,0.278,3
0.155,0.229,3
0.155,0.159,3
0.155,0.175,3
0.155,0.15300000000000002,3
0.155,0.16899999999999998,3
0.155,0.22200000000000003,3
0.155,0.14900000000000002,3
0.155,0.372,3
0.155,0.185,3
0.155,0.359,3
0.155,0.178,3
0.155,0.249,3
0.111,0.135,4
0.111,0.152,4
0.111,0.15,4
0.111,2.799,4
0.111,0.523,4
0.111,0.165,4
0.111,0.17600000000000002,4
0.111,0.273,4
0.111,0.153,4
0.111,0.268,4
0.111,0.153,4
0.111,9.294,4
0.111,0.534,4
0.111,0.154,4
0.111,0.193,4
0.111,10.908000000000001,4
0.124,149.77300000000002,5
0.124,149.832,5
0.124,0.125,5
0.124,0.151,5
0.124,0.217,5
0.124,64.28,5
0.124,0.128,5
0.124,0.128,5
0.124,114.565,5
0.124,0.17099999999999999,5
0.124,0.177,5
0.124,0.153,5
0.136,0.127,6
0.136,0.139,6
0.136,0.127,6
0.136,0.7250000000000001,6
0.136,0.128,6
0.136,0.183,6
0.136,0.14900000000000002,6
0.136,0.134,6
0.136,0.665,6
0.136,0.5,6
0.136,0.135,6
0.136,0.15000000000000002,6
0.136,0.125,6
0.136,29.631999999999998,6
0.136,0.253,6
0.136,0.185,6
0.14200000000000002,0.224,7
0.14200000000000002,0.326,7
0.14200000000000002,0.21800000000000003,7
0.14200000000000002,0.20800000000000002,7
0.14200000000000002,149.778,7
0.14200000000000002,0.268,7
0.14200000000000002,0.29400000000000004,7
0.14200000000000002,149.79399999999998,7
0.14200000000000002,0.224,7
0.14200000000000002,0.227,7
0.14200000000000002,0.239,7
0.14200000000000002,0.256,7
0.14200000000000002,0.28400000000000003,7
0.14200000000000002,0.23199999999999998,7
0.14200000000000002,0.247,7
0.163,0.169,8
0.163,0.185,8
0.163,0.20199999999999999,8
0.163,0.223,8
0.163,0.155,8
0.163,0.646,8
0.163,0.173,8
0.163,0.198,8
0.163,0.198,8
0.163,0.176,8
0.163,0.158,8
0.163,0.186,8
1.98,2.5860000000000003,9
1.98,2.325,9
1.98,2.31,9
1.98,2.059,9
1.98,134.727,9
1.98,3.431,9
1.98,2.1750000000000003,9
1.98,2.348,9
1.98,2.2849999999999997,9
1.98,1.3760000000000001,9
1.98,1.1480000000000001,9
1.98,1.3960000000000001,9
1.98,1.3869999999999998,9
1.98,2.932,9
1.98,1.193,9
16.258999999999997,15.47,10
16.258999999999997,15.419,10
16.258999999999997,12.562000000000001,10
16.258999999999997,15.411000000000001,10
16.258999999999997,28.03,10
16.258999999999997,28.163,10
16.258999999999997,15.655000000000001,10
16.258999999999997,15.955,10
16.258999999999997,8.909999999999998,10
16.258999999999997,8.754,10
16.258999999999997,36.67,10
16.258999999999997,37.092,10
16.258999999999997,8.882,10
16.258999999999997,8.777000000000001,10
16.258999999999997,8.854,10
16.258999999999997,8.872,10
