solvetime_diff,handcrafted_obj,tot_obj,count
0.096,6,6,1
0.116,6,6,1
0.216,6,6,1
0.313,6,6,1
0.172,6,6,2
0.292,6,6,1
0.08,6,6,2
0.084,6,6,3
0.095,6,6,1
0.081,6,6,2
0.09,6,6,1
0.067,6,6,1
0.083,6,6,1
0.1,6,6,1
0.075,1,1,1
0.032,1,1,3
149.651,1,20,1
0.038,1,1,1
0.029,1,1,2
0.031,1,1,3
0.03,1,1,3
0.061,1,1,1
149.631,1,20,1
0.053,1,1,2
0.033,1,1,2
0.039,1,1,1
0.037,1,1,1
0.057,1,1,2
0.046,1,1,4
0.065,1,1,1
0.051,1,1,2
0.03,1,1,1
0.026,1,1,1
149.767,1,20,1
6.888,1,1,1
0.036,1,1,3
0.038,1,1,2
6.269,1,4,1
0.066,2,4,2
0.32,2,4,1
0.121,2,4,1
0.101,2,4,1
0.06,2,4,3
0.075,2,4,2
0.058,2,4,2
0.068,2,4,2
0.05,2,4,2
0.13,2,4,1
0.067,2,4,2
0.14,2,4,1
0.1,2,4,1
0.049,6,7,2
0.045,6,7,1
0.05,6,7,2
0.244,6,7,1
0.406,6,7,1
0.065,6,7,2
0.071,6,7,2
0.067,6,7,1
0.061,6,7,3
0.101,6,7,1
0.077,6,7,2
5.204,6,7,1
0.286,6,7,1
5.254,6,7,1
149.661,1,20,2
149.78,1,20,1
0.035,1,1,4
0.043,1,1,1
34.808,1,1,1
0.036,1,1,4
55.531,1,1,1
0.068,1,1,2
0.056,1,1,1
0.04,1,1,5
0.064,3,5,2
0.045,3,5,3
0.04,3,5,2
0.328,3,5,1
0.041,3,5,2
0.038,3,5,2
0.06,3,5,2
0.039,3,5,2
0.199,3,5,1
0.202,3,5,1
0.061,3,5,1
15.883,3,5,1
0.095,3,5,1
0.099,3,5,1
0.08,1,1,2
0.099,1,1,1
0.06,1,1,2
0.073,1,1,2
149.664,1,20,2
0.096,1,1,1
0.095,1,1,2
0.072,1,1,2
0.068,1,1,1
0.063,1,1,2
0.109,1,1,1
0.093,1,1,1
0.078,1,1,1
0.054,1,1,2
149.332,1,4,1
