handcrafted,tot,grouplabels
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,4,0
4,8,0
4,8,0
2,2,1
2,2,1
2,2,1
2,5,1
2,2,1
2,4,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
2,2,1
4,5,2
4,5,2
4,5,2
4,5,2
4,5,2
4,5,2
4,5,2
4,10,2
4,5,2
4,5,2
4,5,2
4,5,2
4,4,2
4,4,3
4,4,3
4,4,3
4,4,3
4,4,3
4,4,3
4,8,3
4,4,3
4,10,3
4,4,3
3,4,4
3,5,4
3,6,4
3,6,4
3,5,4
3,5,4
3,4,4
3,4,4
3,4,4
3,5,4
3,10,4
3,5,4
3,10,4
3,5,4
3,4,4
3,4,4
4,5,5
4,5,5
4,6,5
4,5,5
4,5,5
4,6,5
4,6,5
4,6,5
4,6,5
4,6,5
4,8,5
4,6,5
4,6,5
4,6,5
4,6,5
4,6,5
3,3,6
3,4,6
3,3,6
3,3,6
3,3,6
3,3,6
3,3,6
3,10,6
3,9,6
3,9,6
3,10,6
3,10,6
3,10,6
3,3,6
3,3,6
4,5,7
4,5,7
4,5,7
4,10,7
4,8,7
4,4,7
4,4,7
4,4,7
4,4,7
4,4,7
4,4,7
4,4,7
4,4,7
4,4,7
4,4,7
4,8,8
4,6,8
4,6,8
4,8,8
4,6,8
4,8,8
4,8,8
4,8,8
4,7,8
4,5,8
4,8,8
4,4,8
4,6,8
4,6,8
4,8,8
4,4,8
5,5,9
5,8,9
5,8,9
5,5,9
5,8,9
5,5,9
5,8,9
5,6,9
5,6,9
5,5,9
5,7,9
5,6,9
5,6,9
5,6,9
5,6,9
6,6,10
6,6,10
6,6,10
6,6,10
6,6,10
6,6,10
6,6,10
6,6,10
6,6,10
6,6,10
6,6,10
6,6,10
6,6,10
6,6,10
6,6,10
6,6,10
5,9,11
5,5,11
5,5,11
5,5,11
5,5,11
5,5,11
5,9,11
5,5,11
5,10,11
5,5,11
5,6,11
5,6,11
5,5,11
5,5,11
5,5,11
5,5,11
4,6,12
4,4,12
4,6,12
4,6,12
4,10,12
4,6,12
4,6,12
4,6,12
4,4,12
4,4,12
4,4,12
4,4,12
4,4,12
4,4,12
4,4,12
4,8,12
4,4,13
4,4,13
4,10,13
4,7,13
4,4,13
4,5,13
4,4,13
4,4,13
4,4,13
4,8,13
4,8,13
4,4,13
4,4,13
4,4,13
4,4,13
4,7,13
5,8,14
5,6,14
5,6,14
5,8,14
5,10,14
5,5,14
5,6,14
5,6,14
5,6,14
5,10,14
5,5,14
5,5,14
5,8,14
5,6,14
5,5,14
5,8,14
4,4,15
4,9,15
4,5,15
4,10,15
4,10,15
4,5,15
4,4,15
4,5,15
4,4,15
4,4,15
4,9,15
4,9,15
4,5,15
4,9,15
4,5,15
4,7,15
2,2,16
2,5,16
2,2,16
2,4,16
2,3,16
2,4,16
2,5,16
2,5,16
2,2,16
2,2,16
2,2,16
2,2,16
2,4,16
2,5,16
2,2,16
2,2,16
4,4,17
4,10,17
4,10,17
4,4,17
4,4,17
4,4,17
4,4,17
4,4,17
4,10,17
4,4,17
4,6,17
4,4,17
4,4,17
4,10,17
4,4,17
4,10,17
6,6,18
6,6,18
6,7,18
6,6,18
6,6,18
6,6,18
6,6,18
6,6,18
6,6,18
6,6,18
6,10,18
6,6,18
6,6,18
6,6,18
6,6,18
6,6,18
4,10,19
4,4,19
4,4,19
4,4,19
4,4,19
4,4,19
4,4,19
4,4,19
