handcrafted,tot,grouplabels
0.023657,149.839,0
0.023657,149.786,0
0.023657,149.776,0
0.023657,24.3087,0
0.023657,149.624,0
0.023657,149.787,0
0.023657,149.79,0
0.023657,149.775,0
0.023657,149.839,0
0.023657,149.841,0
0.023657,149.735,0
0.023657,149.832,0
0.023657,149.843,0
0.023657,149.801,0
0.023657,149.771,0
0.893122,149.8,1
0.893122,149.813,1
0.893122,149.804,1
0.893122,149.805,1
0.893122,149.751,1
0.893122,149.761,1
0.893122,149.795,1
0.893122,0.0057016,1
0.893122,0.0588025,1
0.893122,0.0390733,1
0.893122,149.78,1
0.893122,149.785,1
0.893122,149.787,1
0.893122,149.782,1
0.893122,149.78,1
0.893122,0.0068219,1
0.12878,149.846,2
0.12878,149.813,2
0.12878,149.843,2
0.12878,149.846,2
0.12878,149.778,2
0.12878,149.773,2
0.12878,149.838,2
0.12878,149.806,2
0.12878,149.762,2
0.12878,149.832,2
0.12878,149.834,2
0.12878,149.845,2
0.12878,11.0749,2
0.168585,149.851,3
0.168585,149.852,3
0.168585,149.849,3
0.168585,149.85,3
0.168585,149.847,3
0.168585,149.849,3
0.168585,149.831,3
0.168585,149.837,3
0.168585,149.714,3
0.168585,0.17856,3
0.889075,149.821,4
0.889075,149.786,4
0.889075,149.827,4
0.889075,149.818,4
0.889075,149.788,4
0.889075,149.766,4
0.889075,149.781,4
0.889075,149.832,4
0.889075,149.835,4
0.889075,149.79,4
0.889075,149.806,4
0.889075,149.778,4
0.889075,149.771,4
0.889075,149.785,4
0.889075,149.845,4
0.889075,149.844,4
3.96961,149.78,5
3.96961,149.752,5
3.96961,149.848,5
3.96961,149.748,5
3.96961,149.791,5
3.96961,149.838,5
3.96961,149.828,5
3.96961,149.817,5
3.96961,149.824,5
3.96961,149.84,5
3.96961,149.825,5
3.96961,149.715,5
3.96961,149.839,5
3.96961,149.852,5
3.96961,149.831,5
3.96961,149.479,5
2.08088,149.753,6
2.08088,149.848,6
2.08088,149.79,6
2.08088,149.799,6
2.08088,149.787,6
2.08088,149.761,6
2.08088,149.795,6
2.08088,149.439,6
2.08088,149.719,6
2.08088,149.51,6
2.08088,149.687,6
2.08088,149.844,6
2.08088,149.807,6
2.08088,149.744,6
2.08088,149.715,6
2.08715,149.741,7
2.08715,149.789,7
2.08715,149.847,7
2.08715,149.809,7
2.08715,149.685,7
2.08715,149.8,7
2.08715,149.787,7
2.08715,149.792,7
2.08715,149.705,7
2.08715,149.782,7
2.08715,149.798,7
