handcrafted,tot,grouplabels,count
0.023657,149.839,0,2
0.023657,149.786,0,1
0.023657,149.776,0,1
0.023657,24.3087,0,1
0.023657,149.624,0,1
0.023657,149.787,0,1
0.023657,149.79,0,1
0.023657,149.775,0,1
0.023657,149.841,0,1
0.023657,149.735,0,1
0.023657,149.832,0,1
0.023657,149.843,0,1
0.023657,149.801,0,1
0.023657,149.771,0,1
0.893122,149.8,1,1
0.893122,149.813,1,1
0.893122,149.804,1,1
0.893122,149.805,1,1
0.893122,149.751,1,1
0.893122,149.761,1,1
0.893122,149.795,1,1
0.893122,0.0057016,1,1
0.893122,0.0588025,1,1
0.893122,0.0390733,1,1
0.893122,149.78,1,2
0.893122,149.785,1,1
0.893122,149.787,1,1
0.893122,149.782,1,1
0.893122,0.0068219,1,1
0.12878,149.846,2,2
0.12878,149.813,2,1
0.12878,149.843,2,1
0.12878,149.778,2,1
0.12878,149.773,2,1
0.12878,149.838,2,1
0.12878,149.806,2,1
0.12878,149.762,2,1
0.12878,149.832,2,1
0.12878,149.834,2,1
0.12878,149.845,2,1
0.12878,11.0749,2,1
0.168585,149.851,3,1
0.168585,149.852,3,1
0.168585,149.849,3,2
0.168585,149.85,3,1
0.168585,149.847,3,1
0.168585,149.831,3,1
0.168585,149.837,3,1
0.168585,149.714,3,1
0.168585,0.17856,3,1
0.889075,149.821,4,1
0.889075,149.786,4,1
0.889075,149.827,4,1
0.889075,149.818,4,1
0.889075,149.788,4,1
0.889075,149.766,4,1
0.889075,149.781,4,1
0.889075,149.832,4,1
0.889075,149.835,4,1
0.889075,149.79,4,1
0.889075,149.806,4,1
0.889075,149.778,4,1
0.889075,149.771,4,1
0.889075,149.785,4,1
0.889075,149.845,4,1
0.889075,149.844,4,1
3.96961,149.78,5,1
3.96961,149.752,5,1
3.96961,149.848,5,1
3.96961,149.748,5,1
3.96961,149.791,5,1
3.96961,149.838,5,1
3.96961,149.828,5,1
3.96961,149.817,5,1
3.96961,149.824,5,1
3.96961,149.84,5,1
3.96961,149.825,5,1
3.96961,149.715,5,1
3.96961,149.839,5,1
3.96961,149.852,5,1
3.96961,149.831,5,1
3.96961,149.479,5,1
2.08088,149.753,6,1
2.08088,149.848,6,1
2.08088,149.79,6,1
2.08088,149.799,6,1
2.08088,149.787,6,1
2.08088,149.761,6,1
2.08088,149.795,6,1
2.08088,149.439,6,1
2.08088,149.719,6,1
2.08088,149.51,6,1
2.08088,149.687,6,1
2.08088,149.844,6,1
2.08088,149.807,6,1
2.08088,149.744,6,1
2.08088,149.715,6,1
2.08715,149.741,7,1
2.08715,149.789,7,1
2.08715,149.847,7,1
2.08715,149.809,7,1
2.08715,149.685,7,1
2.08715,149.8,7,1
2.08715,149.787,7,1
2.08715,149.792,7,1
2.08715,149.705,7,1
2.08715,149.782,7,1
2.08715,149.798,7,1
2.08715,149.739,7,1
2.08715,149.814,7,1
2.08715,149.624,7,1
2.08715,149.79,7,1
31.1767,149.85,8,1
31.1767,149.802,8,2
31.1767,149.84,8,1
31.1767,149.844,8,1
31.1767,149.845,8,2
31.1767,149.717,8,1
31.1767,149.795,8,1
31.1767,149.788,8,1
31.1767,149.855,8,1
31.1767,1.65265,8,1
31.1767,149.728,8,1
31.1767,149.761,8,1
31.1767,149.816,8,1
31.1767,46.0729,8,1
0.336059,149.849,9,1
0.336059,149.829,9,1
0.336059,149.812,9,1
0.336059,149.816,9,1
0.336059,149.725,9,1
0.336059,149.843,9,1
0.336059,149.79,9,1
0.336059,149.676,9,1
0.336059,149.673,9,1
0.336059,55.7796,9,1
0.336059,149.679,9,1
0.336059,149.667,9,1
0.336059,149.358,9,1
0.336059,149.779,9,1
0.336059,149.788,9,1
19.3796,149.822,10,1
19.3796,149.779,10,1
19.3796,149.777,10,1
19.3796,149.775,10,1
19.3796,148.939,10,1
19.3796,149.794,10,1
19.3796,149.801,10,1
19.3796,149.832,10,2
19.3796,149.824,10,1
19.3796,149.846,10,1
19.3796,149.845,10,2
19.3796,149.848,10,1
19.3796,149.836,10,1
19.3796,149.853,10,1
5.26092,149.844,11,2
5.26092,149.841,11,1
5.26092,149.764,11,1
5.26092,0.0195848,11,1
5.26092,149.832,11,1
5.26092,149.752,11,1
5.26092,149.813,11,1
5.26092,149.821,11,1
5.26092,149.816,11,2
5.26092,149.673,11,1
5.26092,149.817,11,1
5.26092,149.856,11,1
5.26092,149.818,11,1
5.26092,149.815,11,1
11.0878,149.855,12,1
11.0878,149.791,12,1
11.0878,149.827,12,1
11.0878,149.768,12,1
11.0878,149.801,12,1
11.0878,149.714,12,1
11.0878,149.844,12,1
11.0878,149.736,12,1
11.0878,149.782,12,3
11.0878,149.767,12,1
11.0878,149.784,12,1
11.0878,149.794,12,1
11.0878,149.743,12,1
11.0878,149.742,12,1
1.23004,149.777,13,1
1.23004,149.036,13,1
1.23004,149.799,13,1
1.23004,149.735,13,1
1.23004,149.793,13,1
1.23004,149.772,13,2
1.23004,149.795,13,1
1.23004,149.769,13,1
1.23004,149.84,13,1
1.23004,149.801,13,1
1.23004,149.822,13,1
1.23004,149.813,13,1
1.23004,149.782,13,1
1.23004,149.839,13,1
1.23004,149.759,13,1
0.97022,149.821,14,3
0.97022,149.834,14,1
0.97022,149.823,14,1
0.97022,149.792,14,1
0.97022,149.771,14,1
0.97022,0.0039653,14,1
0.97022,149.813,14,2
0.97022,149.81,14,1
0.97022,0.0022775,14,1
0.97022,149.816,14,1
0.97022,149.811,14,1
0.97022,149.824,14,1
0.97022,149.757,14,1
1.8003,0.0039708,15,1
1.8003,149.81,15,2
1.8003,149.827,15,2
1.8003,149.805,15,1
1.8003,149.817,15,1
1.8003,149.79,15,1
1.8003,28.3061,15,1
1.8003,149.778,15,1
1.8003,10.3503,15,1
1.8003,149.815,15,1
1.8003,149.811,15,1
1.8003,149.821,15,1
1.8003,149.789,15,1
1.8003,149.78,15,1
0.009028,149.787,16,2
0.009028,149.754,16,1
0.009028,149.784,16,1
0.009028,149.85,16,1
0.009028,149.843,16,1
0.009028,149.801,16,1
0.009028,149.806,16,1
0.009028,149.765,16,1
0.009028,149.779,16,1
0.009028,149.792,16,1
0.009028,149.767,16,1
0.009028,149.852,16,1
0.009028,149.794,16,1
0.009028,149.636,16,1
0.009028,149.763,16,1
0.483556,149.798,17,1
0.483556,149.767,17,1
0.483556,149.815,17,1
0.483556,149.803,17,1
0.483556,149.863,17,1
0.483556,149.85,17,1
0.483556,149.572,17,1
0.483556,149.769,17,1
0.483556,149.764,17,1
