01_020_05.json:  syntactically invalid,  semantically invalid,  valid,  optimal
02_020_07.json:  syntactically invalid,  semantically invalid,  valid,  optimal
02_020_10.json:  syntactically invalid,  semantically invalid,  valid,  optimal
03_020_05.json:  syntactically invalid,  semantically invalid,  valid,  optimal
03_020_10.json:  syntactically invalid,  semantically invalid,  valid,  optimal
04_020_08.json:  syntactically invalid,  semantically invalid,  valid,  optimal
05_020_08.json:  syntactically invalid,  semantically invalid,  valid,  optimal
06_020_06.json:  syntactically invalid,  semantically invalid,  valid,  optimal
06_020_10.json:  syntactically invalid,  semantically invalid,  valid,  optimal
07_020_05.json:  syntactically invalid,  semantically invalid,  valid,  optimal
07_020_08.json:  syntactically invalid,  semantically invalid,  valid,  optimal
07_020_10.json:  syntactically invalid,  semantically invalid,  valid,  optimal
08_020_04.json:  syntactically invalid,  semantically invalid,  valid,  optimal
08_020_08.json:  syntactically invalid,  semantically invalid,  valid,  optimal
09_020_02.json:  syntactically invalid,  semantically invalid,  valid,  optimal
09_020_05.json:  syntactically invalid,  semantically invalid,  valid,  optimal
09_020_07.json:  syntactically invalid,  semantically invalid,  valid,  optimal
10_020_02.json:  syntactically invalid,  semantically invalid,  valid,  optimal
10_020_04.json:  syntactically invalid,  semantically invalid,  valid,  optimal
10_020_09.json:  syntactically invalid,  semantically invalid,  valid,  optimal
